symbol,SL32271,SL5882,SL6338,SL6407,SL6409,SL6663,SL6670,SL7380,SL7622,SL7854
ACTG1P25,5,3,4,8,9,2,6,8,8,4
ACTG2,66,13,44,48,116,21,61,72,49,79
ACTL11P,4,4,6,3,9,10,20,7,11,4
ACTL6A,100,52,267,265,347,170,236,455,248,255
ACTL6B,2422,1325,2890,720,4474,3652,4270,4480,2939,612
ACTL7A,2,0,2,0,0,1,1,1,1,2
ACTL7B,3,3,1,3,3,1,0,0,3,1
ACTL8,0,0,4,6,0,0,0,0,50,0
ACTL9,0,0,4,2,2,0,0,0,0,0
ACTN1,10540,4665,10303,6581,16974,12579,16608,16935,12440,2863
ACTN1-DT,4,4,5,9,4,3,4,2,1,2
ACTN2,3213,2099,5748,3502,12845,7185,8856,11841,6836,1554
ACTN3,16,2,15,22,17,5,19,15,22,9
ACTN4,9134,4287,12633,10426,13120,10742,16190,14386,10624,7751
ACTN4P1,0,0,3,9,6,0,5,1,1,1
ACTP1,0,0,1,2,1,1,1,0,0,0
ACTR10,702,589,1785,524,3155,1702,2484,3613,1744,673
ACTR1A,3006,1906,5441,2588,7020,5128,6378,8777,4827,2150
ACTR1AP1,4,2,4,6,5,0,3,5,3,3
ACTR1B,3787,2045,5663,1740,6890,6047,7994,6915,5581,2017
ACTR2,3359,2390,8784,2635,16640,6806,10133,16820,7931,3461
ACTR3,1465,1063,3270,1797,7393,3043,4185,6393,2981,1733
ACTR3B,1282,958,3122,709,6597,3549,4410,6515,2907,577
ACTR3C,51,19,96,32,135,83,138,223,98,59
ACTR3P2,0,0,3,2,0,0,0,0,0,0
ACTR5,183,110,295,153,499,264,375,522,351,186
ACTR6,264,165,550,212,876,647,887,1281,581,436
ACTR6P1,0,0,1,2,3,0,0,0,0,0
ACTR8,307,219,705,298,1274,640,653,1542,809,461
ACTRT1,0,0,3,7,4,0,1,2,1,2
ACTRT2,1,0,0,0,0,0,0,0,0,0
ACTRT3,20,17,28,30,115,58,56,64,40,19
ACVR1,441,259,693,630,1508,659,1059,1660,849,519
ACVR1B,1648,1001,3041,1484,4592,2616,3558,4738,3151,1046
ACVR1C,904,626,2522,249,4343,2233,2920,5129,2297,781
ACVR2A,143,83,358,171,600,348,375,1100,663,359
ACVR2B,373,205,693,309,995,687,738,1593,958,730
ACVR2B-AS1,45,14,49,14,99,43,49,105,72,36
ACVRL1,1023,431,528,1621,550,611,1158,805,570,697
ACY1,27,24,25,38,33,51,66,52,65,44
ACY3,10,35,195,20,178,199,135,336,72,88
ACYP1,149,68,185,126,292,192,235,346,254,208
ACYP2,481,223,741,486,1401,1050,1603,1459,946,718
ADA,74,81,229,242,267,256,278,283,254,202
ADA2,328,281,1104,362,1242,508,711,1452,758,925
ADAD1,0,0,11,14,9,0,0,0,0,0
ADAD1P2,0,1,0,0,0,0,0,0,0,1
ADAD2,24,6,160,420,263,248,155,214,131,7
ADAL,172,148,464,291,670,570,675,733,399,427
ADAM10,831,742,2441,1042,3808,1566,2545,4745,2385,1852
ADAM11,1756,757,1752,442,1987,2213,2772,1709,1671,409
ADAM12,375,166,537,600,612,269,835,888,312,309
ADAM15,3764,1566,3201,4448,3736,3347,5345,4603,3277,2750
ADAM17,283,173,445,458,827,327,561,932,633,543
ADAM18,1,0,10,17,20,1,0,0,0,1
ADAM19,78,70,196,171,288,177,198,271,298,196
ADAM1B,29,11,28,25,49,21,43,57,48,48
ADAM2,1,0,6,19,12,0,0,0,0,1
ADAM20,28,8,20,28,27,27,32,38,20,58
ADAM20P1,10,3,5,11,12,6,5,10,13,14
ADAM20P3,0,0,1,5,2,0,0,0,0,1
ADAM21,17,7,26,24,29,18,17,29,31,36
ADAM21P1,2,2,3,1,2,1,2,3,0,7
ADAM22,1261,920,2934,752,6402,2681,3360,8052,3950,1779
ADAM23,2334,1988,5773,1019,9932,4750,6725,10866,5851,1033
ADAM24P,0,0,4,3,4,0,0,0,0,0
ADAM28,72,54,137,78,250,218,177,294,185,276
ADAM29,4,4,27,16,46,30,14,36,32,13
ADAM30,0,0,3,5,1,0,0,0,0,0
ADAM32,34,8,54,113,62,35,37,46,44,34
ADAM33,561,500,459,544,710,888,1186,653,1110,683
ADAM3A,0,0,13,14,6,0,0,0,0,0
ADAM3B,3,1,1,4,2,0,3,3,1,5
ADAM5,0,0,5,30,8,2,1,2,0,0
ADAM7,3,1,10,14,12,3,1,3,5,9
ADAM7-AS2,0,0,2,7,4,0,0,0,0,1
ADAM8,447,195,174,237,139,346,543,224,363,146
ADAM9,382,277,1166,771,1770,862,1179,2340,1356,965
ADAMDEC1,1,1,6,10,6,1,4,0,2,6
ADAMTS1,1207,138,955,2477,834,461,851,878,696,3759
ADAMTS10,1522,754,1088,560,1139,1828,1719,1792,2135,971
ADAMTS12,41,21,81,27,110,68,50,74,42,27
ADAMTS13,1519,726,1022,627,973,1308,2014,986,1440,511
ADAMTS14,423,90,222,183,510,451,1026,421,422,503
ADAMTS15,40,18,84,86,77,35,45,67,50,70
ADAMTS16,47,28,57,38,81,61,35,106,83,74
ADAMTS16-DT,10,1,9,0,4,16,2,13,10,4
ADAMTS17,132,96,228,144,367,123,265,317,109,146
ADAMTS18,22,4,254,75,44,226,55,51,32,135
ADAMTS19,223,157,291,262,457,231,576,289,189,107
ADAMTS19-AS1,14,11,29,5,52,13,31,25,19,4
ADAMTS2,107,27,150,87,153,108,230,160,207,118
ADAMTS20,10,2,22,53,36,7,6,5,10,6
ADAMTS3,197,180,544,141,1027,379,788,659,293,93
ADAMTS4,918,281,2474,2476,2148,1524,1682,1930,1550,2840
ADAMTS5,16,21,85,43,154,73,92,130,39,59
ADAMTS6,16,9,44,75,53,28,38,35,34,59
ADAMTS7,188,136,250,221,235,284,356,264,290,225
ADAMTS7P3,7,3,4,6,4,5,5,1,4,7
ADAMTS7P4,30,9,36,27,17,42,55,12,37,11
ADAMTS8,700,496,1219,872,3565,1620,2430,2443,1079,337
ADAMTS9,1271,50,164,2747,281,97,143,230,125,452
ADAMTS9-AS1,12,1,6,37,10,3,3,6,3,21
ADAMTS9-AS2,55,32,70,111,86,88,90,178,101,183
ADAMTSL1,94,52,170,44,144,94,186,92,59,37
ADAMTSL2,384,159,348,78,413,436,562,425,452,168
ADAMTSL3,91,66,226,144,176,118,133,187,182,308
ADAMTSL4,661,149,400,740,475,124,238,257,257,186
ADAMTSL5,122,83,141,205,112,152,278,88,105,75
ADAP1,1388,548,1425,959,1511,1969,2555,1747,1175,782
ADAP2,101,120,333,369,352,470,457,517,313,563
ADAR,5878,4528,15908,5241,23831,12792,15684,28277,16748,6760
ADARB1,1428,1324,3166,1825,5367,3415,4166,5598,2959,770
ADARB2,684,134,735,249,809,595,697,1075,890,868
ADARB2-AS1,10,13,49,26,28,61,37,102,70,57
ADAT1,455,278,675,392,1039,905,1291,1267,708,545
ADAT2,101,60,130,83,284,153,183,256,251,95
ADAT3,136,20,56,134,67,95,99,78,76,93
ADCK1,315,172,496,196,776,503,644,831,625,290
ADCK2,520,213,767,224,1084,760,809,1281,738,287
ADCK5,388,187,345,210,463,598,629,498,474,221
ADCY1,2731,2162,7581,933,12795,7142,12054,10536,5007,1497
ADCY10,25,9,31,73,40,18,34,24,36,32
ADCY10P1,159,154,398,437,339,288,524,437,380,404
ADCY2,2407,1463,4482,2766,6439,2379,3882,7461,3523,3854
ADCY3,5262,2152,6359,1755,8416,5278,5820,8533,5808,886
ADCY4,419,221,299,382,410,322,705,395,500,601
ADCY5,23248,11705,31965,7697,45677,33927,39436,44945,31375,4615
ADCY6,738,499,1056,1096,1250,1083,1578,1836,1645,1205
ADCY6-DT,6,0,1,1,5,6,3,6,4,6
ADCY7,160,64,220,97,197,183,130,304,210,182
ADCY8,388,168,599,820,723,196,420,797,493,666
ADCY9,2289,1280,3259,1556,4054,2465,3764,4477,2862,1015
ADCYAP1,63,32,50,21,108,127,117,53,20,18
ADCYAP1R1,5530,4515,15552,6338,18439,6739,12003,24991,13007,10163
ADD1,9707,6497,20260,9406,26386,16727,23299,31920,18827,9705
ADD2,3914,3149,11249,2053,19718,11129,12148,20227,11013,2089
ADD3,2056,1980,8195,4554,10751,5758,8149,16444,8428,11341
ADD3-AS1,10,12,42,13,54,24,32,60,55,51
ADGB,134,34,214,145,230,6,17,47,0,3
ADGB-DT,0,0,2,3,5,0,0,0,0,0
ADGRA1,818,433,1315,732,1438,1070,784,1763,1440,853
ADGRA2,1447,851,1389,904,1198,936,1978,1548,2221,1437
ADGRA3,766,659,1865,1359,2620,784,1809,3909,1465,2067
ADGRB1,26541,7998,16591,8754,16776,15119,19517,19431,21988,5966
ADGRB2,33852,16195,38329,16319,45668,45696,46362,44735,33839,7286
ADGRB3,1261,1021,3419,835,6529,2963,3747,7592,4181,1722
ADGRD1,561,143,362,582,367,309,396,353,351,253
ADGRD2,302,33,104,129,130,10,22,52,2,0
ADGRE1,4,1,19,33,15,1,1,2,1,5
ADGRE2,84,27,75,220,118,50,63,60,75,116
ADGRE3,0,0,10,23,14,1,0,1,2,3
ADGRE4P,2,15,16,14,32,16,4,2,8,33
ADGRE5,239,66,325,420,368,247,461,385,265,345
ADGRF1,0,1,15,24,17,1,1,0,4,1
ADGRF2,0,0,4,12,3,0,0,0,2,1
ADGRF3,28,24,58,40,70,39,43,69,42,42
ADGRF4,0,0,4,3,1,0,1,0,1,1
ADGRF5,387,557,793,1241,1619,777,1697,1799,1327,1203
ADGRF5P1,4,22,21,11,87,50,14,30,36,3
ADGRG1,10630,3544,9803,23548,15047,5215,9831,16140,10807,7175
ADGRG2,33,5,30,62,53,22,47,42,58,53
ADGRG3,19,4,21,63,13,2,7,7,21,14
ADGRG4,1,0,12,21,16,1,1,1,1,0
ADGRG5,8,5,22,19,32,22,14,35,12,21
ADGRG6,43,20,116,194,126,52,112,135,166,66
ADGRG7,1,1,7,9,8,1,1,0,0,1
ADGRL1,14855,8163,18369,6542,19377,24077,22889,23859,20577,5949
ADGRL1-AS1,127,101,153,234,213,168,263,224,293,272
ADGRL2,789,658,1360,850,3274,1078,1637,3436,2074,612
ADGRL3,1464,1209,4266,1697,8846,2622,4217,9215,4530,2549
ADGRL4,154,58,135,621,202,135,379,330,185,338
