symbol,SL31505,SL31508,SL32268,SL6670,SL7380
ALPK1,218,247,337,696,515
ALPK2,0,2,4,1,0
ALPK3,312,302,258,471,541
ALPL,1120,631,1474,1327,817
ALPP,0,0,0,0,0
ALS2,783,859,972,1189,2720
ALS2CL,445,345,697,806,451
ALX1,0,2,0,1,1
ALX3,7,4,8,5,1
ALX4,48,104,156,53,84
ALYREF,263,220,489,290,474
AMACR,24,28,18,36,49
AMBN,37,53,42,154,128
AMBP,8,7,13,16,10
AMBRA1,1495,1917,1842,2792,3590
AMD1,2704,2522,2496,4982,8611
AMD1P1,1,4,0,0,2
AMDHD1,48,57,34,84,117
AMDHD2,209,268,412,517,362
AMELX,0,1,0,1,3
AMELY,0,0,0,0,0
AMER1,229,354,232,398,724
AMER2,6853,3882,8476,9679,14692
AMER3,827,1187,1009,1272,1851
AMFR,3279,3838,3604,6420,9961
AMH,38,356,765,1722,839
AMHR2,0,0,0,1,1
AMIGO1,2345,2708,1797,3756,6746
AMIGO2,312,203,238,416,711
AMIGO3,0,1,0,0,0
AMMECR1,96,104,111,224,209
AMMECR1L,395,305,398,527,857
AMMECR1LP1,2,4,4,5,9
AMN,24,6,46,20,19
AMN1,263,222,256,365,568
AMOT,1684,2249,2713,3992,8523
AMOTL1,932,918,892,1365,2804
AMOTL2,1813,949,2807,3072,2787
AMPD1,1,1,0,1,1
AMPD2,6270,11660,6553,17897,17691
AMPD3,972,522,959,943,1687
AMPH,1663,1256,2146,1569,3185
AMT,493,687,816,1762,1393
AMTN,0,0,0,0,0
AMY1A,0,0,0,0,0
AMY1B,0,0,0,4,0
AMY1C,0,0,0,0,0
AMY2A,6,11,14,21,13
AMY2B,275,301,379,643,498
AMYP1,0,0,0,1,0
AMZ1,657,927,879,1102,1670
AMZ2,2098,2444,2551,4122,4579
